id,acousticness,danceability,duration_ms,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence
51CUtoKY6oPN5PIXJsCQIq,0.31,0.615,204964,0.521,1.6e-06,0.0978,-8.849,0.0484,139.503,0.182
1eDS8ii1utvj0PjfQLrDb4,0.527,0.614,287907,0.591,0.0,0.111,-6.919,0.0651,120.04,0.481
4HdxI4yrlmN2C9GaMD9mxL,0.204,0.6759999999999999,197893,0.916,0.0,0.114,-2.52,0.0265,108.002,0.897
3MnbXlC1N7GdS9M8HzA6no,0.0518,0.777,200733,0.662,0.0,0.168,-3.761,0.143,142.059,0.4
6D2tzc8kRnZb7P1lNwMBLH,0.895,0.494,223213,0.17,0.0,0.139,-11.368,0.0337,80.098,0.145
17yrCsl1Ai6CZLBmGj6d6p,0.258,0.201,158478,0.7240000000000001,0.0281,0.296,-6.744,0.0499,154.395,0.1669999999999999
7Hle5ryHW10GCpkE8pxlpx,0.113,0.496,230280,0.7859999999999999,0.0,0.317,-3.971,0.0364,78.008,0.403
56OTBUIn4xlmDhtPowlA2d,0.303,0.723,217133,0.443,3.85e-06,0.246,-5.7360000000000015,0.0298,129.964,0.7120000000000001
4EETgKkkLxXrsrc0q50K1P,0.219,0.462,211507,0.71,2.47e-06,0.0924,-6.474,0.0364,197.763,0.6609999999999999
4vuJuTLFomqItDrn482nzV,0.0177,0.638,187893,0.8190000000000001,0.0,0.312,-4.9910000000000005,0.0643,101.031,0.721
2TsyTag2aNa4wmUNmExzcI,0.117,0.516,186720,0.946,4.34e-06,0.0641,-2.623,0.072,135.89600000000002,0.662
3TE9GbcsnQrxUrqpdpb8I0,0.0141,0.862,315069,0.7659999999999999,0.0,0.273,-8.158999999999999,0.262,98.6,0.8540000000000001
277XsneDiv30dhONPCOmrF,0.0874,0.621,236440,0.843,0.000196,0.106,-5.412000000000001,0.0315,132.01,0.445
3l75jB2gKi4VpgklWIbTOz,0.258,0.691,226168,0.67,0.764,0.117,-4.471,0.0644,170.06599999999997,0.22
34i4yxPrHWquuR4kjiivFO,0.201,0.674,233077,0.593,0.000529,0.209,-6.47,0.0582,116.995,0.464
7t2eWdGWBTAxaXxaGqq9ts,0.254,0.743,140657,0.411,0.0,0.292,-7.343,0.376,119.693,0.339
3KH5aME71gFcHvReW54ew4,0.928,0.45,195758,0.189,0.000843,0.104,-11.423,0.0519,66.945,0.227
1b6rmL3VXBgYTbn61kM8wT,0.318,0.5579999999999999,253787,0.8640000000000001,0.0,0.123,-5.1,0.43,152.804,0.474
4PA16FAl8LPmFmOhARawdV,0.0635,0.623,253533,0.74,0.0,0.366,-6.945,0.307,82.874,0.351
0WCbhE2evMrIwRM0DlMy9k,0.0498,0.838,292910,0.43,1.59e-05,0.0977,-5.867999999999999,0.281,126.981,0.126
6WQyaRxqf332knjOMWUMQf,0.0175,0.765,213147,0.657,0.0,0.345,-6.394,0.0829,91.998,0.5529999999999999
5eG8QuQKOBvDeCyoOeMkhT,0.965,0.353,194160,0.311,0.0315,0.204,-10.377,0.0321,146.696,0.135
7pda6TLAbVGxUjIUtbiNt0,0.048,0.7859999999999999,222147,0.569,0.0,0.119,-5.461,0.125,82.027,0.288
5LKXxwgll43fxe1lPF7sze,0.158,0.407,232878,0.403,5.98e-06,0.5529999999999999,-8.396,0.113,90.907,0.329
1LnvvETuCo3vqt1xC9j7J4,0.358,0.635,206811,0.0861,0.00995,0.138,-18.311,0.0755,130.14600000000002,0.0618
2c37Gkpu75l3kvh1FUZrHV,0.375,0.4,216786,0.7240000000000001,0.0,0.0927,-6.064,0.253,96.782,0.43
48yFrzTcnTCklWL9PRVZJj,0.188,0.6629999999999999,225240,0.8009999999999999,0.0,0.166,-4.086,0.246,177.843,0.6779999999999999
57fGFSzxpGVosCuWWJeKTv,0.461,0.5870000000000001,241798,0.495,9.05e-05,0.1,-7.063,0.0302,126.002,0.18
4COGASZEbAxmH6k5gYMo6G,0.155,0.894,335737,0.721,0.0,0.154,-5.829,0.258,107.963,0.392
7xrA11O07xo57Bbg6p4hck,0.00415,0.628,193893,0.74,0.0,0.277,-4.836,0.0358,86.98299999999998,0.257
7wmFsS43fO8vAg0vcr776N,0.534,0.389,400560,0.597,0.406,0.144,-8.436,0.0308,143.94299999999996,0.506
0sDqqcELNvGWI5u8mBxESD,0.995,0.429,180774,0.0541,0.928,0.114,-26.759,0.0411,122.311,0.0569
2JXNOtb0ANe6MzgRYDQG2J,0.129,0.735,265950,0.665,0.0,0.0803,-5.933,0.0819,102.018,0.593
1Rpj9CZE7cGSXUCfiBf0eA,0.286,0.7190000000000001,215050,0.809,0.0,0.081,-4.678999999999999,0.182,125.072,0.238
1nIyZKYmUsbEowiizbyr2Q,0.142,0.696,182600,0.6409999999999999,0.0,0.132,-5.807,0.0261,101.981,0.664
4vzV11MKDc82D9r1YV61MQ,0.8909999999999999,0.514,163500,0.32,0.0,0.0977,-9.669,0.144,76.916,0.236
0B0tYbVp7pDQAqKDhgMeaL,0.0389,0.5870000000000001,281827,0.63,0.0,0.35,-6.053999999999999,0.0311,76.97,0.433
3toYHht60pj16nNK0e2HZy,0.98,0.278,95317,0.0434,0.919,0.121,-22.396,0.0383,133.85299999999998,0.0397
6n77sRt4ihxmRlkEGLRqHZ,0.0335,0.62,243080,0.812,0.0,0.132,-5.843,0.0436,92.024,0.573
1Ub6VfiTXgyV8HnsfzrZzC,0.0867,0.244,243376,0.955,2.54e-06,0.411,-1.5319999999999998,0.0964,170.375,0.428
60j4KO4XiFxLM6qy2Enic2,0.00397,0.775,187710,0.8240000000000001,0.0,0.0509,-2.5580000000000003,0.047,137.989,0.6829999999999999
1Vk4yRsz0iBzDiZEoFMQyv,0.976,0.476,98040,0.192,0.928,0.119,-15.753,0.064,116.542,0.114
1zWMf9bVyhY5W3ZORbjNWt,0.0247,0.565,192133,0.8320000000000001,0.0,0.26,-5.732,0.114,112.827,0.233
4t5Zj9I7WDYFaYlSif13lV,0.509,0.436,245619,0.306,0.0,0.591,-11.337,0.0886,95.337,0.355
2NqHZYzBWUHbbpDDgdGWJL,0.0636,0.627,204067,0.8809999999999999,0.0,0.103,-4.575,0.0556,120.007,0.593
3LGxef3inmn5jMLGDz9lqw,0.0415,0.69,223080,0.524,3.16e-06,0.17,-8.39,0.103,164.023,0.562
79wTHFxVJXRrR5afZeBd16,0.025,0.782,181104,0.662,0.0,0.3,-7.2429999999999986,0.105,140.05100000000002,0.102
